repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
krahets_hello-algo,1.8744186046511628,2.0,1.512578571876796,1.0,1.0,0.0,4.706976744186046,1.0,10.457868194443542,7707
GrowingGit_GitHub-Chinese-Top-Charts,0.0,0.0,,1.0,1.0,,0.0,0.0,,5
iluwatar_java-design-patterns,3.3632523759239703,3.0,2.5983133182959235,1.197465681098205,1.0,0.5262009057092045,1.8405491024287224,0.0,6.473067688345661,35484
macrozheng_mall,3.9342105263157894,3.0,4.966914318526482,1.2394736842105263,1.0,0.43921085880212773,1110.803947368421,13.0,8155.555246123951,100903
spring-projects_spring-boot,5.371836063004467,4.0,6.331630787031039,1.292688660763263,1.0,0.7893197664662049,12.61335318548703,0.0,104.21405144030831,373644
doocs_advanced-java,0.0,0.0,,1.0,1.0,,0.0,0.0,,5
MisterBooo_LeetCodeAnimation,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,78
elastic_elasticsearch,,,,,,,,,,0
Stirling-Tools_Stirling-PDF,8.208547008547008,5.0,8.040837258013518,1.2324786324786325,1.0,0.5588376298586843,16.724786324786326,0.0,73.07852188306433,35492
kdn251_interviews,1.1906614785992218,1.0,1.2494648659973868,1.0038910505836576,1.0,0.062378286155180526,0.2918287937743191,0.0,0.9293664686623517,5621
TheAlgorithms_Java,2.0624584717607974,2.0,1.456854877037858,1.0438538205980066,1.0,0.2790390613629405,7.9661129568106315,1.0,27.335451512924088,57623
NationalSecurityAgency_ghidra,7.148025887156322,5.0,8.84186582406838,1.8442861486339748,1.0,1.5531412264536384,113.1240498631803,1.0,5329.636892309092,1767550
spring-projects_spring-framework,5.230503644434702,3.0,6.800972994877491,1.4767907053214226,1.0,1.5252617391769256,29.625746698087358,0.0,271.45107180017635,749818
google_guava,4.054811585175957,2.0,5.649535986586084,1.8134537527250079,1.0,2.2717058567802577,49.233104951728436,0.0,451.71108421655316,258878
ReactiveX_RxJava,2.5237212437852867,1.0,5.253124827267809,1.3186989129518834,1.0,0.8862814172994147,47.46262745428499,0.0,1802.9053887835348,370515
skylot_jadx,4.463059313215401,3.0,6.73187328386998,1.6670135275754423,1.0,1.2612206982573855,32.21782865071106,0.0,328.9178433537427,128305
dbeaver_dbeaver,,,,,,,,,,0
termux_termux-app,5.912772585669782,4.0,7.18713208458326,1.4299065420560748,1.0,0.7041681643885342,60.82554517133956,0.0,236.3712402565189,24562
jeecgboot_JeecgBoot,7.165458937198068,4.0,9.062214904032725,1.182367149758454,1.0,0.46061648452040754,49.893719806763286,0.0,298.85231628620306,46549
apache_dubbo,5.41187270501836,4.0,5.803618628720243,1.2927376580987353,1.0,0.7086087741070849,46.10893512851897,1.0,437.48608135463365,250954
PhilJay_MPAndroidChart,8.843137254901961,5.0,10.006632323275921,1.9803921568627452,1.0,1.2305967537333011,91.0326797385621,1.0,517.7972439225406,21111
eugenp_tutorials,4.117530967877388,3.0,4.001910346400978,1.1118202813352929,1.0,0.4193212285572265,5.956162082720974,0.0,40.61452666617026,526275
halo-dev_halo,7.518541797611565,5.0,7.320222829588194,1.26147077309868,1.0,0.6108186888808589,6.814582023884349,0.0,28.27373274492555,52286
alibaba_arthas,4.732142857142857,3.0,5.8880813537128125,1.35609243697479,1.0,0.719478622905232,36.66386554621849,1.0,172.79938720881552,47805
geekxh_hello-algorithm,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,61
airbnb_lottie-android,6.897610921501706,5.0,8.312996988468795,1.286689419795222,1.0,0.6461638346076011,33.41296928327645,0.0,283.1551019300727,17890
TeamNewPipe_NewPipe,8.295221843003413,5.0,10.321492522858286,1.6450511945392492,1.0,1.0955782522377615,43.29692832764505,1.0,237.05970373694439,41566
bumptech_glide,5.909646739130435,4.0,6.6202716418615015,1.2099184782608696,1.0,0.7655637300427013,20.184103260869566,0.0,159.97232320960094,58345
doocs_leetcode,2.567073170731707,2.0,1.8704387384696135,1.0060975609756098,1.0,0.07808688094430304,0.3353658536585366,0.0,0.7202371714382373,4414
netty_netty,4.418119787717968,2.0,5.773073383823683,1.517690169320192,1.0,1.2159697803803877,67.03639120545868,0.0,1137.2503086687132,381882
xkcoding_spring-boot-demo,5.049792531120332,4.0,4.004364816897282,1.1307053941908713,1.0,0.4884647768088304,2.3215767634854774,0.0,9.814829841965445,7163
Blankj_AndroidUtilCode,4.155223880597015,2.0,5.550401851409895,1.364179104477612,1.0,0.8356234289192939,144.95373134328358,0.0,960.5050906924679,39995
