full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
Snailclimb/JavaGuide,151617,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2025-09-06T13:42:14Z,177513,Java,7.33,0
krahets/hello-algo,116169,https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,2025-09-06T21:32:08Z,364743,Java,2.84,9
GrowingGit/GitHub-Chinese-Top-Charts,101929,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2025-09-06T18:05:33Z,123199,Java,6.0,0
iluwatar/java-design-patterns,92626,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2025-09-06T14:59:57Z,46859,Java,11.08,0
macrozheng/mall,81505,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,2025-09-06T14:34:48Z,58703,Java,7.43,3
spring-projects/spring-boot,78316,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,2025-09-06T19:31:06Z,202503,Java,12.88,30
doocs/advanced-java,78211,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,2025-09-06T13:58:01Z,26590,Java,6.92,1
MisterBooo/LeetCodeAnimation,76445,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2025-09-06T15:14:19Z,509807,Java,6.75,0
elastic/elasticsearch,73725,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,2025-09-06T19:54:20Z,1467454,Java,15.58,30
Stirling-Tools/Stirling-PDF,65223,https://github.com/Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,2025-09-06T22:13:16Z,105854,Java,2.61,30
kdn251/interviews,64442,https://github.com/kdn251/interviews,2017-02-14T18:19:25Z,2025-09-06T21:23:49Z,24462,Java,8.56,0
TheAlgorithms/Java,63284,https://github.com/TheAlgorithms/Java,2016-07-16T10:21:02Z,2025-09-06T18:42:18Z,6535,Java,9.14,0
NationalSecurityAgency/ghidra,59963,https://github.com/NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,2025-09-06T21:29:19Z,392548,Java,6.52,30
spring-projects/spring-framework,58803,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,2025-09-06T22:11:07Z,233684,Java,14.75,30
google/guava,51085,https://github.com/google/guava,2014-05-29T16:23:17Z,2025-09-06T14:53:41Z,564596,Java,11.27,30
ReactiveX/RxJava,48288,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,2025-09-06T19:31:59Z,145073,Java,12.66,30
skylot/jadx,45387,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,2025-09-06T18:35:20Z,24110,Java,12.47,30
